date,cash
01/01/2013, 3039.07 (Cash) + 4558.61 (Bank account)
14/02/2013, 3200.62 (Cash) + 4800.93 (Bank account)
26/02/2013, 2832.00 (Cash) + 4248.01 (Bank account)
02/06/2013, 3359.06 (Cash) + 5038.58 (Bank account)
20/09/2013, 2731.10 (Cash) + 4096.66 (Bank account)
04/11/2013, 2433.00 (Cash) + 3649.51 (Bank account)
14/11/2013, 2042.72 (Cash) + 3064.09 (Bank account)
29/11/2013, 1878.62 (Cash) + 2817.94 (Bank account)
11/02/2014, 2137.98 (Cash) + 3206.96 (Bank account)
18/02/2014, 2070.14 (Cash) + 3105.20 (Bank account)
21/03/2014, 2191.62 (Cash) + 3287.44 (Bank account)
27/03/2014, 2136.75 (Cash) + 3205.12 (Bank account)
25/04/2014, 2547.54 (Cash) + 3821.30 (Bank account)
10/06/2014, 3318.71 (Cash) + 4978.06 (Bank account)
23/09/2014, 2886.27 (Cash) + 4329.41 (Bank account)
28/09/2014, 2891.79 (Cash) + 4337.69 (Bank account)
27/12/2014, 2911.63 (Cash) + 4367.44 (Bank account)
06/02/2015, 2792.60 (Cash) + 4188.89 (Bank account)
18/02/2015, 2627.46 (Cash) + 3941.19 (Bank account)
03/06/2015, 2167.39 (Cash) + 3251.09 (Bank account)
07/06/2015, 2074.12 (Cash) + 3111.19 (Bank account)
04/07/2015, 2175.86 (Cash) + 3263.80 (Bank account)
06/08/2015, 2048.23 (Cash) + 3072.34 (Bank account)
24/10/2015, 2113.07 (Cash) + 3169.61 (Bank account)
24/11/2015, 2264.95 (Cash) + 3397.42 (Bank account)
11/01/2016, 2656.34 (Cash) + 3984.52 (Bank account)
19/01/2016, 2447.78 (Cash) + 3671.67 (Bank account)
06/02/2016, 2788.33 (Cash) + 4182.49 (Bank account)
12/04/2016, 2880.25 (Cash) + 4320.37 (Bank account)
27/06/2016, 1518.57 (Cash) + 2277.86 (Bank account)
22/07/2016, 1836.29 (Cash) + 2754.44 (Bank account)
25/08/2016, 2317.60 (Cash) + 3476.40 (Bank account)
28/11/2016, 2010.78 (Cash) + 3016.17 (Bank account)
20/12/2016, 2618.64 (Cash) + 3927.96 (Bank account)
21/12/2016, 2618.64 (Cash) + 3927.96 (Bank account)
