date,category,value
01/01/2013,Housing,1700.00
01/01/2013,Food,0.00
01/01/2013,Utilities,300.00
01/01/2013,Health,0.00
01/01/2013,Shopping,0.00
01/01/2013,Leisure,0.00
01/01/2013,Other,0.00
01/01/2013,Food,33.63
02/01/2013,Food,32.93
02/01/2013,Leisure,596.02
04/01/2013,Shopping,0.00
07/01/2013,Food,31.05
08/01/2013,Shopping,0.00
21/01/2013,Food,30.95
26/01/2013,Food,30.86
27/01/2013,Health,37.70
27/01/2013,Shopping,0.00
28/01/2013,Food,30.66
01/02/2013,Housing,1700.00
01/02/2013,Food,0.00
01/02/2013,Utilities,300.00
01/02/2013,Health,0.00
01/02/2013,Shopping,0.00
01/02/2013,Leisure,0.00
01/02/2013,Other,0.00
01/02/2013,Food,35.05
05/02/2013,Leisure,0.00
06/02/2013,Food,34.35
06/02/2013,Shopping,258.80
07/02/2013,Leisure,0.00
08/02/2013,Food,33.47
09/02/2013,Other,154.73
10/02/2013,Food,32.90
11/02/2013,Food,32.80
13/02/2013,Food,32.70
16/02/2013,Utilities,102.83
17/02/2013,Food,32.30
20/02/2013,Food,32.20
20/02/2013,Leisure,528.89
22/02/2013,Food,30.52
23/02/2013,Shopping,0.00
23/02/2013,Other,101.09
26/02/2013,Utilities,38.25
01/03/2013,Housing,1700.00
01/03/2013,Food,0.00
01/03/2013,Utilities,300.00
01/03/2013,Health,0.00
01/03/2013,Shopping,0.00
01/03/2013,Leisure,0.00
01/03/2013,Other,0.00
02/03/2013,Other,288.82
03/03/2013,Food,33.01
11/03/2013,Food,32.91
11/03/2013,Utilities,55.09
11/03/2013,Health,96.63
13/03/2013,Food,32.36
18/03/2013,Food,32.26
19/03/2013,Food,32.17
21/03/2013,Food,32.07
23/03/2013,Leisure,0.00
27/03/2013,Food,31.97
27/03/2013,Other,105.25
01/04/2013,Housing,1700.00
01/04/2013,Food,0.00
01/04/2013,Utilities,300.00
01/04/2013,Health,0.00
01/04/2013,Shopping,0.00
01/04/2013,Leisure,0.00
01/04/2013,Other,0.00
03/04/2013,Food,34.88
04/04/2013,Food,34.77
04/04/2013,Shopping,0.00
06/04/2013,Utilities,87.93
11/04/2013,Shopping,848.50
14/04/2013,Food,31.86
15/04/2013,Other,0.00
28/04/2013,Food,31.26
30/04/2013,Food,31.16
30/04/2013,Shopping,0.00
30/04/2013,Other,190.54
01/05/2013,Housing,1700.00
01/05/2013,Food,0.00
01/05/2013,Utilities,300.00
01/05/2013,Health,0.00
01/05/2013,Shopping,0.00
01/05/2013,Leisure,0.00
01/05/2013,Other,0.00
05/05/2013,Food,34.40
08/05/2013,Food,34.30
10/05/2013,Food,34.19
12/05/2013,Food,34.07
12/05/2013,Health,0.00
18/05/2013,Food,33.97
23/05/2013,Food,33.87
23/05/2013,Utilities,61.21
30/05/2013,Other,228.00
01/06/2013,Housing,1700.00
01/06/2013,Food,0.00
01/06/2013,Utilities,300.00
01/06/2013,Health,0.00
01/06/2013,Shopping,0.00
01/06/2013,Leisure,0.00
01/06/2013,Other,0.00
07/06/2013,Health,129.32
08/06/2013,Food,35.57
09/06/2013,Food,35.47
13/06/2013,Food,35.35
14/06/2013,Food,35.24
16/06/2013,Food,35.13
19/06/2013,Food,35.03
20/06/2013,Leisure,248.78
22/06/2013,Food,34.18
22/06/2013,Leisure,0.00
25/06/2013,Shopping,0.00
25/06/2013,Other,72.02
26/06/2013,Health,57.25
26/06/2013,Other,90.36
28/06/2013,Food,33.42
29/06/2013,Food,33.32
01/07/2013,Housing,1700.00
01/07/2013,Food,0.00
01/07/2013,Utilities,300.00
01/07/2013,Health,0.00
01/07/2013,Shopping,0.00
01/07/2013,Leisure,0.00
01/07/2013,Other,0.00
01/07/2013,Food,37.72
02/07/2013,Health,37.25
04/07/2013,Health,144.13
05/07/2013,Leisure,763.66
10/07/2013,Food,33.65
12/07/2013,Food,33.54
13/07/2013,Food,34.22
18/07/2013,Shopping,371.07
19/07/2013,Shopping,194.86
19/07/2013,Other,380.67
23/07/2013,Food,31.28
23/07/2013,Leisure,0.00
01/08/2013,Housing,1700.00
01/08/2013,Food,0.00
01/08/2013,Utilities,300.00
01/08/2013,Health,0.00
01/08/2013,Shopping,0.00
01/08/2013,Leisure,0.00
01/08/2013,Other,0.00
03/08/2013,Health,55.91
04/08/2013,Food,34.48
05/08/2013,Food,34.38
06/08/2013,Food,34.27
10/08/2013,Food,34.17
10/08/2013,Health,80.43
12/08/2013,Food,33.83
12/08/2013,Other,168.96
16/08/2013,Food,33.22
18/08/2013,Food,33.12
19/08/2013,Food,33.02
20/08/2013,Shopping,0.00
26/08/2013,Health,0.00
29/08/2013,Food,32.92
30/08/2013,Food,32.82
31/08/2013,Leisure,108.25
01/09/2013,Housing,1700.00
01/09/2013,Food,0.00
01/09/2013,Utilities,300.00
01/09/2013,Health,0.00
01/09/2013,Shopping,0.00
01/09/2013,Leisure,0.00
01/09/2013,Other,0.00
01/09/2013,Food,36.90
03/09/2013,Food,36.19
04/09/2013,Food,36.08
06/09/2013,Food,35.97
06/09/2013,Health,108.63
08/09/2013,Food,35.54
10/09/2013,Food,35.02
11/09/2013,Food,34.91
13/09/2013,Food,34.81
13/09/2013,Health,106.84
15/09/2013,Food,34.38
17/09/2013,Food,34.28
20/09/2013,Food,34.89
21/09/2013,Food,34.79
21/09/2013,Health,117.18
24/09/2013,Food,34.33
26/09/2013,Food,34.23
28/09/2013,Food,34.12
30/09/2013,Food,33.44
01/10/2013,Housing,1700.00
01/10/2013,Food,0.00
01/10/2013,Utilities,300.00
01/10/2013,Health,0.00
01/10/2013,Shopping,0.00
01/10/2013,Leisure,0.00
01/10/2013,Other,0.00
01/10/2013,Food,37.84
04/10/2013,Food,37.13
12/10/2013,Utilities,88.69
13/10/2013,Food,36.77
13/10/2013,Other,126.08
15/10/2013,Utilities,70.75
17/10/2013,Shopping,0.00
17/10/2013,Leisure,132.29
18/10/2013,Food,35.68
18/10/2013,Leisure,0.00
19/10/2013,Food,35.57
20/10/2013,Food,35.46
23/10/2013,Health,0.00
30/10/2013,Other,43.31
31/10/2013,Food,35.23
01/11/2013,Housing,1700.00
01/11/2013,Food,0.00
01/11/2013,Utilities,300.00
01/11/2013,Health,0.00
01/11/2013,Shopping,0.00
01/11/2013,Leisure,0.00
01/11/2013,Other,0.00
02/11/2013,Food,39.01
03/11/2013,Food,38.90
04/11/2013,Food,38.78
07/11/2013,Food,38.66
11/11/2013,Food,38.55
15/11/2013,Food,38.44
16/11/2013,Food,38.32
16/11/2013,Utilities,104.96
16/11/2013,Other,255.69
19/11/2013,Other,221.67
21/11/2013,Food,36.46
23/11/2013,Health,99.97
24/11/2013,Other,49.76
25/11/2013,Health,13.70
26/11/2013,Utilities,90.09
26/11/2013,Other,119.67
01/12/2013,Housing,1700.00
01/12/2013,Food,0.00
01/12/2013,Utilities,300.00
01/12/2013,Health,0.00
01/12/2013,Shopping,0.00
01/12/2013,Leisure,0.00
01/12/2013,Other,0.00
03/12/2013,Food,39.13
03/12/2013,Other,0.00
05/12/2013,Food,39.01
08/12/2013,Leisure,0.00
10/12/2013,Health,115.14
12/12/2013,Food,38.12
12/12/2013,Utilities,22.82
13/12/2013,Food,37.58
15/12/2013,Food,37.47
19/12/2013,Shopping,344.29
19/12/2013,Other,193.10
20/12/2013,Food,35.74
22/12/2013,Food,35.64
23/12/2013,Food,35.53
24/12/2013,Food,35.42
26/12/2013,Food,35.31
29/12/2013,Food,35.19
30/12/2013,Food,35.08
01/01/2014,Housing,1700.00
01/01/2014,Food,0.00
01/01/2014,Utilities,300.00
01/01/2014,Health,0.00
01/01/2014,Shopping,0.00
01/01/2014,Leisure,0.00
01/01/2014,Other,0.00
06/01/2014,Food,38.16
07/01/2014,Other,81.79
09/01/2014,Leisure,307.07
12/01/2014,Other,157.19
15/01/2014,Food,36.40
16/01/2014,Food,36.29
17/01/2014,Shopping,0.00
18/01/2014,Food,36.18
18/01/2014,Leisure,292.07
22/01/2014,Leisure,0.00
28/01/2014,Food,35.20
31/01/2014,Food,35.10
01/02/2014,Housing,1700.00
01/02/2014,Food,0.00
01/02/2014,Utilities,300.00
01/02/2014,Health,0.00
01/02/2014,Shopping,0.00
01/02/2014,Leisure,0.00
01/02/2014,Other,0.00
06/02/2014,Food,38.32
06/02/2014,Health,156.40
10/02/2014,Health,29.91
14/02/2014,Leisure,0.00
20/02/2014,Food,36.95
23/02/2014,Food,36.83
25/02/2014,Shopping,352.01
25/02/2014,Leisure,0.00
26/02/2014,Food,35.67
28/02/2014,Utilities,73.07
01/03/2014,Housing,1700.00
01/03/2014,Food,0.00
01/03/2014,Utilities,300.00
01/03/2014,Health,0.00
01/03/2014,Shopping,0.00
01/03/2014,Leisure,0.00
01/03/2014,Other,0.00
01/03/2014,Food,39.84
04/03/2014,Shopping,0.00
05/03/2014,Food,39.12
06/03/2014,Leisure,547.35
13/03/2014,Food,37.34
13/03/2014,Leisure,446.99
14/03/2014,Housing,140.60
14/03/2014,Food,35.88
14/03/2014,Leisure,0.00
17/03/2014,Leisure,212.25
20/03/2014,Food,34.74
25/03/2014,Food,34.29
30/03/2014,Food,34.19
31/03/2014,Shopping,135.47
01/04/2014,Housing,1700.00
01/04/2014,Food,0.00
01/04/2014,Utilities,300.00
01/04/2014,Health,0.00
01/04/2014,Shopping,0.00
01/04/2014,Leisure,0.00
01/04/2014,Other,0.00
02/04/2014,Food,37.58
04/04/2014,Utilities,130.78
07/04/2014,Food,36.61
08/04/2014,Food,36.51
12/04/2014,Food,36.41
14/04/2014,Food,36.30
16/04/2014,Food,36.17
21/04/2014,Housing,142.87
25/04/2014,Food,35.63
29/04/2014,Shopping,0.00
01/05/2014,Housing,1700.00
01/05/2014,Food,0.00
01/05/2014,Utilities,300.00
01/05/2014,Health,0.00
01/05/2014,Shopping,0.00
01/05/2014,Leisure,0.00
01/05/2014,Other,0.00
02/05/2014,Food,39.42
02/05/2014,Health,94.43
03/05/2014,Food,39.02
10/05/2014,Food,38.91
12/05/2014,Leisure,0.00
14/05/2014,Food,38.79
15/05/2014,Health,70.15
16/05/2014,Food,38.46
18/05/2014,Health,71.23
19/05/2014,Leisure,0.00
21/05/2014,Other,118.56
22/05/2014,Food,37.78
23/05/2014,Food,37.66
27/05/2014,Food,37.55
30/05/2014,Food,37.44
30/05/2014,Utilities,72.48
01/06/2014,Housing,1700.00
01/06/2014,Food,0.00
01/06/2014,Utilities,300.00
01/06/2014,Health,0.00
01/06/2014,Shopping,0.00
01/06/2014,Leisure,0.00
01/06/2014,Other,0.00
06/06/2014,Food,41.76
08/06/2014,Food,41.63
08/06/2014,Leisure,0.00
08/06/2014,Other,256.49
10/06/2014,Food,40.76
13/06/2014,Health,122.52
14/06/2014,Food,40.27
15/06/2014,Food,40.15
15/06/2014,Health,185.56
16/06/2014,Food,39.48
18/06/2014,Health,36.26
22/06/2014,Food,39.25
25/06/2014,Food,39.12
26/06/2014,Food,39.00
27/06/2014,Food,38.89
27/06/2014,Leisure,1026.78
30/06/2014,Health,152.17
01/07/2014,Housing,1700.00
01/07/2014,Food,0.00
01/07/2014,Utilities,300.00
01/07/2014,Health,0.00
01/07/2014,Shopping,0.00
01/07/2014,Leisure,0.00
01/07/2014,Other,0.00
02/07/2014,Food,39.13
04/07/2014,Shopping,0.00
05/07/2014,Health,98.86
06/07/2014,Utilities,59.00
06/07/2014,Other,1.59
08/07/2014,Food,38.54
09/07/2014,Food,38.42
10/07/2014,Food,38.31
11/07/2014,Food,38.19
12/07/2014,Shopping,0.00
17/07/2014,Utilities,70.71
19/07/2014,Food,37.86
20/07/2014,Health,128.10
21/07/2014,Food,37.36
25/07/2014,Food,37.24
25/07/2014,Other,79.72
31/07/2014,Food,37.05
01/08/2014,Housing,1700.00
01/08/2014,Food,0.00
01/08/2014,Utilities,300.00
01/08/2014,Health,0.00
01/08/2014,Shopping,0.00
01/08/2014,Leisure,0.00
01/08/2014,Other,0.00
02/08/2014,Food,40.84
03/08/2014,Food,40.72
05/08/2014,Health,27.54
08/08/2014,Food,40.52
11/08/2014,Food,40.39
15/08/2014,Health,118.52
17/08/2014,Food,39.92
19/08/2014,Shopping,155.03
24/08/2014,Food,39.33
30/08/2014,Food,39.21
01/09/2014,Housing,1700.00
01/09/2014,Food,0.00
01/09/2014,Utilities,300.00
01/09/2014,Health,0.00
01/09/2014,Shopping,0.00
01/09/2014,Leisure,0.00
01/09/2014,Other,0.00
01/09/2014,Utilities,47.64
02/09/2014,Food,42.85
02/09/2014,Health,74.41
07/09/2014,Food,41.79
08/09/2014,Food,41.67
10/09/2014,Food,41.54
11/09/2014,Food,41.42
15/09/2014,Food,41.29
18/09/2014,Health,68.91
18/09/2014,Shopping,417.86
19/09/2014,Food,38.37
19/09/2014,Leisure,0.00
