date,value
01/01/2013,3500.00
01/01/2013,0.00
01/02/2013,3500.00
01/02/2013,0.00
01/03/2013,3500.00
01/03/2013,0.00
01/04/2013,3500.00
01/04/2013,0.00
01/05/2013,3500.00
01/05/2013,0.00
01/06/2013,3500.00
01/06/2013,0.00
04/06/2013,246.79
01/07/2013,3500.00
01/07/2013,0.00
01/08/2013,3500.00
01/08/2013,0.00
01/09/2013,3500.00
01/09/2013,0.00
01/10/2013,3500.00
01/10/2013,0.00
01/11/2013,3500.00
01/11/2013,0.00
01/12/2013,3500.00
01/12/2013,0.00
10/12/2013,239.21
01/01/2014,3500.00
01/01/2014,0.00
01/02/2014,3500.00
01/02/2014,0.00
25/02/2014,0.00
01/03/2014,3500.00
01/03/2014,0.00
28/03/2014,433.23
01/04/2014,3500.00
01/04/2014,0.00
01/05/2014,3500.00
01/05/2014,0.00
01/06/2014,3500.00
01/06/2014,0.00
04/06/2014,351.71
01/07/2014,3500.00
01/07/2014,0.00
01/08/2014,3500.00
01/08/2014,0.00
01/09/2014,3500.00
01/09/2014,0.00
10/09/2014,235.89
28/09/2014,323.22
01/10/2014,3500.00
01/10/2014,0.00
01/11/2014,3500.00
01/11/2014,0.00
08/11/2014,249.15
01/12/2014,3500.00
01/12/2014,0.00
01/01/2015,3500.00
01/01/2015,0.00
14/01/2015,404.10
01/02/2015,3500.00
01/02/2015,0.00
01/03/2015,3500.00
01/03/2015,0.00
21/03/2015,109.09
01/04/2015,3500.00
01/04/2015,0.00
01/05/2015,3500.00
01/05/2015,0.00
01/06/2015,3500.00
01/06/2015,0.00
01/07/2015,3500.00
01/07/2015,0.00
01/08/2015,3500.00
01/08/2015,0.00
10/08/2015,263.43
01/09/2015,3500.00
01/09/2015,0.00
01/10/2015,3500.00
01/10/2015,0.00
16/10/2015,358.61
01/11/2015,3500.00
01/11/2015,0.00
01/12/2015,3500.00
01/12/2015,0.00
12/12/2015,72.56
01/01/2016,3500.00
01/01/2016,0.00
21/01/2016,373.24
01/02/2016,3500.00
01/02/2016,0.00
13/02/2016,0.00
19/02/2016,99.56
01/03/2016,3500.00
01/03/2016,0.00
01/04/2016,3500.00
01/04/2016,0.00
01/05/2016,3500.00
01/05/2016,0.00
08/05/2016,33.25
01/06/2016,3500.00
01/06/2016,0.00
01/07/2016,3500.00
01/07/2016,0.00
07/07/2016,48.65
13/07/2016,357.11
01/08/2016,3500.00
01/08/2016,0.00
04/08/2016,660.75
28/08/2016,0.00
01/09/2016,3500.00
01/09/2016,0.00
01/10/2016,3500.00
01/10/2016,0.00
01/11/2016,3500.00
01/11/2016,0.00
29/11/2016,60.01
01/12/2016,3500.00
01/12/2016,0.00
03/12/2016,231.94
07/12/2016,531.01
27/12/2016,274.86
01/01/2017,3500.00
01/01/2017,0.00
04/01/2017,381.24
18/01/2017,295.14
01/02/2017,3500.00
01/02/2017,0.00
01/03/2017,3500.00
01/03/2017,0.00
05/03/2017,298.97
01/04/2017,3500.00
01/04/2017,0.00
01/05/2017,3500.00
01/05/2017,0.00
01/06/2017,3500.00
01/06/2017,0.00
20/06/2017,165.24
01/07/2017,3500.00
01/07/2017,0.00
23/07/2017,164.84
01/08/2017,3500.00
01/08/2017,0.00
29/08/2017,0.00
01/09/2017,3500.00
01/09/2017,0.00
26/09/2017,524.28
01/10/2017,3500.00
01/10/2017,0.00
01/11/2017,3500.00
01/11/2017,0.00
01/12/2017,3500.00
01/12/2017,0.00
01/01/2018,3500.00
01/01/2018,0.00
01/02/2018,3500.00
01/02/2018,0.00
01/03/2018,3500.00
01/03/2018,0.00
01/04/2018,3500.00
01/04/2018,0.00
27/04/2018,291.15
01/05/2018,3500.00
01/05/2018,0.00
06/05/2018,413.28
01/06/2018,3500.00
01/06/2018,0.00
01/07/2018,3500.00
01/07/2018,0.00
01/08/2018,3500.00
01/08/2018,0.00
01/09/2018,3500.00
01/09/2018,0.00
01/10/2018,3500.00
01/10/2018,0.00
01/11/2018,3500.00
01/11/2018,0.00
02/11/2018,502.30
07/11/2018,0.00
01/12/2018,3500.00
01/12/2018,0.00
20/12/2018,580.96
24/12/2018,394.43
01/01/2019,3500.00
01/01/2019,0.00
01/02/2019,3500.00
01/02/2019,0.00
01/03/2019,3500.00
01/03/2019,0.00
01/04/2019,3500.00
01/04/2019,0.00
07/04/2019,16.84
01/05/2019,3500.00
01/05/2019,0.00
01/06/2019,3500.00
01/06/2019,0.00
01/07/2019,3500.00
01/07/2019,0.00
01/08/2019,3500.00
01/08/2019,0.00
01/09/2019,3500.00
01/09/2019,0.00
14/09/2019,162.23
01/10/2019,3500.00
01/10/2019,0.00
01/11/2019,3500.00
01/11/2019,0.00
01/11/2019,406.17
30/11/2019,268.29
01/12/2019,3500.00
01/12/2019,0.00
01/01/2020,3500.00
01/01/2020,0.00
11/01/2020,55.32
01/02/2020,3500.00
01/02/2020,0.00
01/03/2020,3500.00
01/03/2020,0.00
01/04/2020,3500.00
01/04/2020,0.00
01/05/2020,3500.00
01/05/2020,0.00
01/06/2020,3500.00
01/06/2020,0.00
24/06/2020,295.97
01/07/2020,3500.00
01/07/2020,0.00
25/07/2020,348.57
01/08/2020,3500.00
01/08/2020,0.00
01/09/2020,3500.00
01/09/2020,0.00
01/10/2020,3500.00
01/10/2020,0.00
01/11/2020,3500.00
01/11/2020,0.00
01/12/2020,3500.00
01/12/2020,0.00
23/12/2020,0.00
01/01/2021,3500.00
01/01/2021,0.00
19/01/2021,501.27
30/01/2021,330.45
01/02/2021,3500.00
01/02/2021,0.00
01/03/2021,3500.00
01/03/2021,0.00
