date,name,value
01/01/2013,d0,-198.0
01/02/2013,d0,-196.0
01/03/2013,d0,-191.8228
01/04/2013,d0,-188.1964
01/05/2013,d0,-183.94809999999998
01/06/2013,d0,-178.34209999999996
01/07/2013,d0,-176.34209999999996
01/08/2013,d0,-174.34209999999996
01/09/2013,d0,-172.34209999999996
01/10/2013,d0,-168.73569999999995
01/11/2013,d0,-163.16479999999996
01/12/2013,d0,-160.16319999999993
01/01/2014,d0,-157.37989999999994
01/02/2014,d0,-155.37989999999994
01/03/2014,d0,-150.98159999999996
01/04/2014,d0,-145.97579999999996
01/05/2014,d0,-143.97579999999996
01/06/2014,d0,-141.97579999999996
01/07/2014,d0,-139.97579999999996
01/08/2014,d0,-135.14419999999996
01/09/2014,d0,-133.14419999999996
01/10/2014,d0,-131.14419999999996
01/11/2014,d0,-129.14419999999996
01/12/2014,d0,-122.15559999999994
01/01/2015,d0,-120.15559999999994
01/02/2015,d0,-118.15559999999994
01/03/2015,d0,-116.15559999999994
01/04/2015,d0,-114.15559999999994
01/05/2015,d0,-112.15559999999994
01/06/2015,d0,-108.37019999999994
01/07/2015,d0,-106.37019999999994
01/08/2015,d0,-102.60839999999993
01/09/2015,d0,-97.59609999999994
01/10/2015,d0,-90.76449999999994
01/11/2015,d0,-88.76449999999991
01/12/2015,d0,-84.92949999999992
01/01/2016,d0,-82.92949999999992
01/02/2016,d0,-77.92679999999993
01/03/2016,d0,-74.67229999999992
01/04/2016,d0,-70.11639999999991
01/05/2016,d0,-65.75409999999992
01/06/2016,d0,-61.42029999999992
01/07/2016,d0,-57.05569999999991
01/08/2016,d0,-55.05569999999991
01/09/2016,d0,-50.51069999999991
01/10/2016,d0,-48.51069999999991
01/11/2016,d0,-46.51069999999991
01/12/2016,d0,-41.9566999999999
01/01/2017,d0,-32.7787999999999
01/02/2017,d0,-28.609499999999894
01/03/2017,d0,-25.079199999999894
01/04/2017,d0,-23.079199999999894
01/05/2017,d0,-21.079199999999894
01/06/2017,d0,-19.079199999999894
01/07/2017,d0,-12.047699999999892
01/08/2017,d0,-10.047699999999892
01/09/2017,d0,-5.7214999999998915
01/10/2017,d0,-3.721499999999892
01/11/2017,d0,-1.7214999999998915
01/12/2017,d0,-0.0
