date,type,name,quantity,value
01/01/2013,I,a0,0,1
01/01/2013,I,a1,0,1
01/01/2013,I,a2,0,1
01/01/2013,I,d0,1,-20000
01/01/2013,S,d0,0.01,-20000.00
01/02/2013,S,d0,0.01,-20000.00
22/02/2013,S,a0,0,1.58
01/03/2013,S,d0,0.01,-20000.00
28/03/2013,S,d0,0.009733,-20000.00
01/04/2013,S,d0,0.01,-20000.00
20/04/2013,S,d0,0.008329000000000001,-20000.00
01/05/2013,S,d0,0.01,-20000.00
02/05/2013,S,a2,0,1.60
27/05/2013,S,d0,0.0061825000000000005,-20000.00
31/05/2013,S,d0,0.007947,-20000.00
01/06/2013,S,d0,0.01,-20000.00
01/07/2013,S,d0,0.01,-20000.00
08/07/2013,S,d0,0.0086985,-20000.00
27/07/2013,S,d0,0.007232,-20000.00
01/08/2013,S,d0,0.01,-20000.00
01/09/2013,S,d0,0.01,-20000.00
09/09/2013,S,d0,0.006885,-20000.00
28/09/2013,S,d0,0.009618000000000002,-20000.00
01/10/2013,S,d0,0.01,-20000.00
07/10/2013,S,a1,0,2.99
01/11/2013,S,d0,0.01,-20000.00
01/12/2013,S,d0,0.01,-20000.00
10/12/2013,S,d0,0.007258499999999999,-20000.00
12/12/2013,S,d0,0.005887,-20000.00
01/01/2014,S,d0,0.01,-20000.00
04/01/2014,S,d0,0.011897,-20000.00
20/01/2014,S,a0,0,2.44
01/02/2014,S,d0,0.01,-20000.00
02/02/2014,S,d0,0.009594499999999999,-20000.00
11/02/2014,S,d0,0.011645,-20000.00
01/03/2014,S,d0,0.01,-20000.00
20/03/2014,S,d0,0.0058165,-20000.00
31/03/2014,S,a1,0,2.66
01/04/2014,S,d0,0.01,-20000.00
03/04/2014,S,d0,0.007659999999999999,-20000.00
11/04/2014,S,a2,0,1.60
01/05/2014,S,d0,0.01,-20000.00
03/05/2014,S,a1,0,2.65
01/06/2014,S,d0,0.01,-20000.00
01/07/2014,S,d0,0.01,-20000.00
01/08/2014,S,d0,0.01,-20000.00
01/09/2014,S,d0,0.01,-20000.00
03/09/2014,S,d0,0.011727,-20000.00
15/09/2014,S,d0,0.012593,-20000.00
18/09/2014,S,d0,0.009843000000000001,-20000.00
21/09/2014,S,d0,0.0075765,-20000.00
01/10/2014,S,d0,0.01,-20000.00
01/11/2014,S,a2,0,2.40
01/11/2014,S,d0,0.01,-20000.00
04/11/2014,S,d0,0.011836,-20000.00
01/12/2014,S,d0,0.01,-20000.00
11/12/2014,S,d0,0.0113375,-20000.00
01/01/2015,S,d0,0.01,-20000.00
01/02/2015,S,d0,0.01,-20000.00
10/02/2015,S,a1,0,2.95
25/02/2015,S,a0,0,2.76
01/03/2015,S,d0,0.011025,-20000.00
01/03/2015,S,d0,0.01,-20000.00
23/03/2015,S,d0,0.0111735,-20000.00
01/04/2015,S,d0,0.01,-20000.00
06/04/2015,S,d0,0.011415999999999999,-20000.00
19/04/2015,S,d0,0.009373999999999999,-20000.00
22/04/2015,S,d0,0.008690999999999999,-20000.00
25/04/2015,S,a0,0,2.59
01/05/2015,S,d0,0.01,-20000.00
01/06/2015,S,d0,0.01,-20000.00
01/07/2015,S,d0,0.01,-20000.00
01/08/2015,S,d0,0.01,-20000.00
01/09/2015,S,d0,0.01,-20000.00
11/09/2015,S,d0,0.014178999999999999,-20000.00
