id,date,type,category,quantity,value,reference
0,01/01/2013,Income,,1,3500.00,
1,01/01/2013,Income,,1,0.00,
2,01/01/2013,Expenses,Housing,1,1700.00,
3,01/01/2013,Expenses,Food,1,0.00,
4,01/01/2013,Expenses,Utilities,1,300.00,
5,01/01/2013,Expenses,Health,1,0.00,
6,01/01/2013,Expenses,Shopping,1,0.00,
7,01/01/2013,Expenses,Leisure,1,0.00,
8,01/01/2013,Expenses,Other,1,0.00,
9,01/01/2013,Expenses,Food,1,37.50,
10,01/01/2013,Debt selling,,0.01,20000.00,d0
11,01/01/2013,Asset expenses,,1,198.00,d0
12,02/01/2013,Expenses,Food,1,36.19,
13,03/01/2013,Expenses,Food,1,36.08,
14,06/01/2013,Expenses,Food,1,35.98,
15,07/01/2013,Expenses,Food,1,35.87,
16,07/01/2013,Expenses,Leisure,1,10.79,
17,10/01/2013,Expenses,Food,1,35.73,
18,11/01/2013,Expenses,Food,1,35.62,
19,14/01/2013,Expenses,Food,1,35.50,
20,15/01/2013,Expenses,Health,1,0.00,
21,16/01/2013,Expenses,Food,1,35.39,
22,16/01/2013,Expenses,Utilities,1,80.53,
23,16/01/2013,Expenses,Leisure,1,0.00,
24,17/01/2013,Expenses,Utilities,1,53.76,
25,17/01/2013,Expenses,Health,1,130.30,
26,17/01/2013,Expenses,Shopping,1,0.00,
27,18/01/2013,Expenses,Food,1,34.49,
28,25/01/2013,Expenses,Other,1,246.35,
29,26/01/2013,Expenses,Food,1,33.65,
30,31/01/2013,Expenses,Leisure,1,650.05,
31,01/02/2013,Income,,1,3500.00,
32,01/02/2013,Income,,1,0.00,
33,01/02/2013,Expenses,Housing,1,1700.00,
34,01/02/2013,Expenses,Food,1,0.00,
35,01/02/2013,Expenses,Utilities,1,300.00,
36,01/02/2013,Expenses,Health,1,0.00,
37,01/02/2013,Expenses,Shopping,1,0.00,
38,01/02/2013,Expenses,Leisure,1,0.00,
39,01/02/2013,Expenses,Other,1,0.00,
40,01/02/2013,Debt selling,,0.01,20000.00,d0
41,01/02/2013,Asset expenses,,1,196.00,d0
42,02/02/2013,Expenses,Food,1,34.91,
43,04/02/2013,Income,,1,360.27,
44,05/02/2013,Expenses,Other,1,59.80,
45,08/02/2013,Expenses,Food,1,35.71,
46,12/02/2013,Expenses,Food,1,35.61,
47,15/02/2013,Expenses,Food,1,35.50,
48,16/02/2013,Expenses,Food,1,35.39,
49,20/02/2013,Expenses,Leisure,1,0.00,
50,22/02/2013,Expenses,Health,1,43.38,
51,26/02/2013,Expenses,Food,1,35.17,
52,01/03/2013,Income,,1,3500.00,
53,01/03/2013,Income,,1,0.00,
54,01/03/2013,Expenses,Housing,1,1700.00,
55,01/03/2013,Expenses,Food,1,0.00,
56,01/03/2013,Expenses,Utilities,1,300.00,
57,01/03/2013,Expenses,Health,1,0.00,
58,01/03/2013,Expenses,Shopping,1,0.00,
59,01/03/2013,Expenses,Leisure,1,0.00,
60,01/03/2013,Expenses,Other,1,0.00,
61,01/03/2013,Expenses,Food,1,39.56,
62,01/03/2013,Debt selling,,0.01,20000.00,d0
63,01/03/2013,Asset expenses,,1,194.00,d0
64,04/03/2013,Expenses,Health,1,45.35,
65,10/03/2013,Expenses,Housing,1,198.77,
66,13/03/2013,Expenses,Food,1,37.53,
67,13/03/2013,Expenses,Other,1,0.00,
68,15/03/2013,Expenses,Food,1,37.42,
69,18/03/2013,Expenses,Food,1,37.31,
70,20/03/2013,Expenses,Food,1,37.20,
71,25/03/2013,Expenses,Food,1,37.08,
72,26/03/2013,Expenses,Food,1,36.97,
73,27/03/2013,Expenses,Food,1,36.86,
74,29/03/2013,Expenses,Leisure,1,0.00,
75,30/03/2013,Expenses,Food,1,36.75,
76,01/04/2013,Income,,1,3500.00,
77,01/04/2013,Income,,1,0.00,
78,01/04/2013,Expenses,Housing,1,1700.00,
79,01/04/2013,Expenses,Food,1,0.00,
80,01/04/2013,Expenses,Utilities,1,300.00,
81,01/04/2013,Expenses,Health,1,0.00,
82,01/04/2013,Expenses,Shopping,1,0.00,
83,01/04/2013,Expenses,Leisure,1,0.00,
84,01/04/2013,Expenses,Other,1,0.00,
85,01/04/2013,Expenses,Food,1,41.14,
86,01/04/2013,Debt selling,,0.01,20000.00,d0
87,01/04/2013,Asset expenses,,1,192.00,d0
88,02/04/2013,Debt selling,,0.01,20000.00,d0
89,03/04/2013,Expenses,Other,1,124.74,
90,04/04/2013,Expenses,Food,1,38.87,
91,05/04/2013,Expenses,Food,1,38.75,
92,06/04/2013,Expenses,Food,1,38.64,
93,06/04/2013,Expenses,Leisure,1,4.84,
94,08/04/2013,Expenses,Food,1,38.51,
95,13/04/2013,Expenses,Food,1,38.39,
96,16/04/2013,Expenses,Food,1,38.27,
97,17/04/2013,Expenses,Food,1,38.16,
98,19/04/2013,Expenses,Utilities,1,34.51,
99,20/04/2013,Expenses,Food,1,37.94,
100,21/04/2013,Expenses,Health,1,86.23,
101,26/04/2013,Expenses,Food,1,37.57,
102,26/04/2013,Expenses,Shopping,1,0.00,
103,29/04/2013,Expenses,Food,1,37.46,
104,01/05/2013,Income,,1,3500.00,
105,01/05/2013,Income,,1,0.00,
106,01/05/2013,Expenses,Housing,1,1700.00,
107,01/05/2013,Expenses,Food,1,0.00,
108,01/05/2013,Expenses,Utilities,1,300.00,
109,01/05/2013,Expenses,Health,1,0.00,
110,01/05/2013,Expenses,Shopping,1,0.00,
111,01/05/2013,Expenses,Leisure,1,0.00,
112,01/05/2013,Expenses,Other,1,0.00,
113,01/05/2013,Debt selling,,0.01,20000.00,d0
114,01/05/2013,Asset expenses,,1,188.00,d0
115,03/05/2013,Expenses,Food,1,40.68,
116,06/05/2013,Expenses,Food,1,40.57,
117,08/05/2013,Income,,1,211.45,
118,10/05/2013,Expenses,Food,1,41.08,
119,11/05/2013,Expenses,Food,1,40.96,
120,11/05/2013,Expenses,Leisure,1,0.00,
121,12/05/2013,Expenses,Utilities,1,118.51,
122,14/05/2013,Expenses,Food,1,40.48,
123,17/05/2013,Expenses,Food,1,40.36,
124,20/05/2013,Expenses,Food,1,40.23,
125,20/05/2013,Expenses,Shopping,1,518.07,
126,22/05/2013,Expenses,Other,1,231.87,
127,23/05/2013,Expenses,Health,1,54.31,
128,29/05/2013,Expenses,Shopping,1,256.95,
129,30/05/2013,Expenses,Food,1,36.92,
130,31/05/2013,Expenses,Food,1,36.81,
131,01/06/2013,Income,,1,3500.00,
132,01/06/2013,Income,,1,0.00,
133,01/06/2013,Expenses,Housing,1,1700.00,
134,01/06/2013,Expenses,Food,1,0.00,
135,01/06/2013,Expenses,Utilities,1,300.00,
136,01/06/2013,Expenses,Health,1,0.00,
137,01/06/2013,Expenses,Shopping,1,0.00,
138,01/06/2013,Expenses,Leisure,1,0.00,
139,01/06/2013,Expenses,Other,1,0.00,
