date,value
01/01/2013,3500.00
01/01/2013,0.00
15/01/2013,198.50
01/02/2013,3500.00
01/02/2013,0.00
01/03/2013,3500.00
01/03/2013,0.00
01/04/2013,3500.00
01/04/2013,0.00
01/05/2013,3500.00
01/05/2013,0.00
21/05/2013,346.47
01/06/2013,3500.00
01/06/2013,0.00
11/06/2013,0.00
01/07/2013,3500.00
01/07/2013,0.00
01/08/2013,3500.00
01/08/2013,0.00
07/08/2013,322.52
01/09/2013,3500.00
01/09/2013,0.00
01/10/2013,3500.00
01/10/2013,0.00
01/11/2013,3500.00
01/11/2013,0.00
18/11/2013,490.21
01/12/2013,3500.00
01/12/2013,0.00
01/01/2014,3500.00
01/01/2014,0.00
01/02/2014,3500.00
01/02/2014,0.00
01/03/2014,3500.00
01/03/2014,0.00
13/03/2014,248.58
01/04/2014,3500.00
01/04/2014,0.00
08/04/2014,370.94
01/05/2014,3500.00
01/05/2014,0.00
01/06/2014,3500.00
01/06/2014,0.00
01/07/2014,3500.00
01/07/2014,0.00
30/07/2014,280.44
01/08/2014,3500.00
01/08/2014,0.00
02/08/2014,0.00
01/09/2014,3500.00
01/09/2014,0.00
01/10/2014,3500.00
01/10/2014,0.00
25/10/2014,0.00
01/11/2014,3500.00
01/11/2014,0.00
01/12/2014,3500.00
01/12/2014,0.00
01/01/2015,3500.00
01/01/2015,0.00
15/01/2015,464.51
01/02/2015,3500.00
01/02/2015,0.00
01/03/2015,3500.00
01/03/2015,0.00
01/04/2015,3500.00
01/04/2015,0.00
01/05/2015,3500.00
01/05/2015,0.00
01/06/2015,3500.00
01/06/2015,0.00
01/07/2015,3500.00
01/07/2015,0.00
15/07/2015,405.43
26/07/2015,324.80
01/08/2015,3500.00
01/08/2015,0.00
01/09/2015,3500.00
01/09/2015,0.00
01/10/2015,3500.00
01/10/2015,0.00
11/10/2015,54.13
01/11/2015,3500.00
01/11/2015,0.00
01/12/2015,3500.00
01/12/2015,0.00
01/01/2016,3500.00
01/01/2016,0.00
22/01/2016,125.92
01/02/2016,3500.00
01/02/2016,0.00
01/03/2016,3500.00
01/03/2016,0.00
01/04/2016,3500.00
01/04/2016,0.00
01/05/2016,3500.00
01/05/2016,0.00
01/06/2016,3500.00
01/06/2016,0.00
11/06/2016,63.61
01/07/2016,3500.00
01/07/2016,0.00
10/07/2016,418.10
01/08/2016,3500.00
01/08/2016,0.00
01/09/2016,3500.00
01/09/2016,0.00
01/10/2016,3500.00
01/10/2016,0.00
01/11/2016,3500.00
01/11/2016,0.00
09/11/2016,386.94
01/12/2016,3500.00
01/12/2016,0.00
01/01/2017,3500.00
01/01/2017,0.00
01/02/2017,3500.00
01/02/2017,0.00
01/03/2017,3500.00
01/03/2017,0.00
01/04/2017,3500.00
01/04/2017,0.00
12/04/2017,268.74
01/05/2017,3500.00
01/05/2017,0.00
01/06/2017,3500.00
01/06/2017,0.00
01/07/2017,3500.00
01/07/2017,0.00
01/08/2017,3500.00
01/08/2017,0.00
01/09/2017,3500.00
01/09/2017,0.00
01/10/2017,3500.00
01/10/2017,0.00
01/11/2017,3500.00
01/11/2017,0.00
01/12/2017,3500.00
01/12/2017,0.00
10/12/2017,297.59
01/01/2018,3500.00
01/01/2018,0.00
20/01/2018,558.02
01/02/2018,3500.00
01/02/2018,0.00
01/03/2018,3500.00
01/03/2018,0.00
01/04/2018,3500.00
01/04/2018,0.00
01/05/2018,3500.00
01/05/2018,0.00
01/06/2018,3500.00
01/06/2018,0.00
01/07/2018,3500.00
01/07/2018,0.00
01/08/2018,3500.00
01/08/2018,0.00
01/09/2018,3500.00
01/09/2018,0.00
01/10/2018,3500.00
01/10/2018,0.00
01/11/2018,3500.00
01/11/2018,0.00
01/12/2018,3500.00
01/12/2018,0.00
01/01/2019,3500.00
01/01/2019,0.00
01/02/2019,3500.00
01/02/2019,0.00
01/03/2019,3500.00
01/03/2019,0.00
01/04/2019,3500.00
01/04/2019,0.00
01/05/2019,3500.00
01/05/2019,0.00
01/06/2019,3500.00
01/06/2019,0.00
01/07/2019,3500.00
01/07/2019,0.00
01/08/2019,3500.00
01/08/2019,0.00
01/09/2019,3500.00
01/09/2019,0.00
01/10/2019,3500.00
01/10/2019,0.00
01/11/2019,3500.00
01/11/2019,0.00
05/11/2019,467.86
01/12/2019,3500.00
01/12/2019,0.00
01/01/2020,3500.00
01/01/2020,0.00
01/02/2020,3500.00
01/02/2020,0.00
01/03/2020,3500.00
01/03/2020,0.00
01/04/2020,3500.00
01/04/2020,0.00
06/04/2020,0.00
11/04/2020,52.41
23/04/2020,314.31
01/05/2020,3500.00
01/05/2020,0.00
01/06/2020,3500.00
01/06/2020,0.00
01/07/2020,3500.00
01/07/2020,0.00
01/08/2020,3500.00
01/08/2020,0.00
01/09/2020,3500.00
01/09/2020,0.00
08/09/2020,323.57
01/10/2020,3500.00
01/10/2020,0.00
01/11/2020,3500.00
01/11/2020,0.00
01/12/2020,3500.00
01/12/2020,0.00
01/01/2021,3500.00
01/01/2021,0.00
19/01/2021,246.47
01/02/2021,3500.00
01/02/2021,0.00
01/03/2021,3500.00
01/03/2021,0.00
01/04/2021,3500.00
01/04/2021,0.00
01/05/2021,3500.00
01/05/2021,0.00
01/06/2021,3500.00
01/06/2021,0.00
04/06/2021,264.62
15/06/2021,252.88
01/07/2021,3500.00
01/07/2021,0.00
21/07/2021,260.55
01/08/2021,3500.00
01/08/2021,0.00
01/09/2021,3500.00
01/09/2021,0.00
01/10/2021,3500.00
01/10/2021,0.00
01/11/2021,3500.00
01/11/2021,0.00
26/11/2021,156.07
