date,price_index
01/01/2008,0.94
02/01/2008,0.95
03/01/2008,0.98
04/01/2008,1.0
05/01/2008,0.98
06/01/2008,0.94
07/01/2008,0.86
08/01/2008,0.87
09/01/2008,0.92
10/01/2008,0.91
11/01/2008,0.92
12/01/2008,0.95
13/01/2008,1.07
14/01/2008,1.08
15/01/2008,1.07
16/01/2008,1.08
17/01/2008,1.08
18/01/2008,1.09
19/01/2008,1.1
20/01/2008,1.08
21/01/2008,1.15
22/01/2008,1.13
23/01/2008,1.1
24/01/2008,1.07
25/01/2008,1.15
26/01/2008,1.08
27/01/2008,1.15
28/01/2008,1.16
29/01/2008,1.14
30/01/2008,1.14
31/01/2008,1.18
01/02/2008,1.08
02/02/2008,1.22
03/02/2008,1.17
04/02/2008,1.12
05/02/2008,1.13
06/02/2008,1.02
07/02/2008,1.0
08/02/2008,1.06
09/02/2008,1.11
10/02/2008,1.08
11/02/2008,0.96
12/02/2008,0.94
13/02/2008,0.89
14/02/2008,0.88
15/02/2008,0.88
16/02/2008,0.9
17/02/2008,0.95
18/02/2008,0.91
19/02/2008,0.89
20/02/2008,0.91
21/02/2008,0.97
22/02/2008,0.93
23/02/2008,0.88
24/02/2008,0.91
25/02/2008,0.94
26/02/2008,0.9
27/02/2008,0.84
28/02/2008,0.84
29/02/2008,0.86
01/03/2008,0.79
02/03/2008,0.81
03/03/2008,0.83
04/03/2008,0.8
05/03/2008,0.8
06/03/2008,0.72
07/03/2008,0.71
08/03/2008,0.75
09/03/2008,0.71
10/03/2008,0.78
11/03/2008,0.77
12/03/2008,0.76
13/03/2008,0.78
14/03/2008,0.78
15/03/2008,0.76
16/03/2008,0.72
17/03/2008,0.79
18/03/2008,0.78
19/03/2008,0.81
20/03/2008,0.85
21/03/2008,0.85
22/03/2008,0.83
23/03/2008,0.86
24/03/2008,0.88
25/03/2008,0.84
26/03/2008,0.79
27/03/2008,0.8
28/03/2008,0.72
29/03/2008,0.69
30/03/2008,0.73
31/03/2008,0.73
01/04/2008,0.81
02/04/2008,0.76
03/04/2008,0.73
04/04/2008,0.71
05/04/2008,0.79
06/04/2008,0.77
07/04/2008,0.8
08/04/2008,0.74
09/04/2008,0.77
10/04/2008,0.77
11/04/2008,0.72
12/04/2008,0.66
13/04/2008,0.62
14/04/2008,0.55
15/04/2008,0.6
16/04/2008,0.6
17/04/2008,0.58
18/04/2008,0.55
19/04/2008,0.59
20/04/2008,0.55
21/04/2008,0.52
22/04/2008,0.59
23/04/2008,0.62
24/04/2008,0.6
25/04/2008,0.59
26/04/2008,0.59
27/04/2008,0.6
28/04/2008,0.61
29/04/2008,0.64
30/04/2008,0.69
01/05/2008,0.64
02/05/2008,0.65
03/05/2008,0.65
04/05/2008,0.65
05/05/2008,0.65
06/05/2008,0.67
07/05/2008,0.75
08/05/2008,0.78
09/05/2008,0.77
10/05/2008,0.76
11/05/2008,0.75
12/05/2008,0.77
13/05/2008,0.75
14/05/2008,0.75
15/05/2008,0.74
16/05/2008,0.68
17/05/2008,0.64
18/05/2008,0.61
19/05/2008,0.62
20/05/2008,0.63
21/05/2008,0.69
22/05/2008,0.7
23/05/2008,0.77
24/05/2008,0.74
25/05/2008,0.76
26/05/2008,0.8
27/05/2008,0.81
28/05/2008,0.83
29/05/2008,0.82
30/05/2008,0.77
31/05/2008,0.85
01/06/2008,0.85
02/06/2008,0.86
03/06/2008,0.89
04/06/2008,0.89
05/06/2008,0.92
06/06/2008,0.92
07/06/2008,0.93
08/06/2008,0.91
09/06/2008,0.95
10/06/2008,0.98
11/06/2008,0.89
12/06/2008,0.93
13/06/2008,0.85
14/06/2008,0.86
15/06/2008,0.87
16/06/2008,0.88
17/06/2008,0.87
18/06/2008,0.9
19/06/2008,0.83
20/06/2008,0.88
21/06/2008,0.86
22/06/2008,0.85
23/06/2008,0.86
24/06/2008,0.89
25/06/2008,0.9
26/06/2008,0.9
27/06/2008,0.87
28/06/2008,0.93
29/06/2008,0.96
30/06/2008,0.92
01/07/2008,0.97
02/07/2008,0.94
03/07/2008,0.96
04/07/2008,0.95
05/07/2008,0.92
06/07/2008,0.95
07/07/2008,1.0
08/07/2008,1.02
09/07/2008,1.07
10/07/2008,1.15
11/07/2008,1.08
12/07/2008,1.13
13/07/2008,1.08
14/07/2008,1.19
15/07/2008,1.24
16/07/2008,1.2
17/07/2008,1.22
18/07/2008,1.11
19/07/2008,1.13
20/07/2008,1.12
21/07/2008,1.13
22/07/2008,1.26
23/07/2008,1.3
24/07/2008,1.31
25/07/2008,1.31
26/07/2008,1.36
27/07/2008,1.29
28/07/2008,1.23
29/07/2008,1.22
30/07/2008,1.19
31/07/2008,1.17
01/08/2008,1.18
02/08/2008,1.08
03/08/2008,1.06
04/08/2008,1.05
05/08/2008,1.16
06/08/2008,1.27
07/08/2008,1.33
08/08/2008,1.22
09/08/2008,1.08
10/08/2008,1.09
11/08/2008,1.08
12/08/2008,1.06
13/08/2008,1.06
14/08/2008,0.99
15/08/2008,1.05
16/08/2008,1.04
17/08/2008,1.01
18/08/2008,1.02
19/08/2008,1.07
20/08/2008,1.13
21/08/2008,1.15
22/08/2008,1.14
23/08/2008,1.13
24/08/2008,1.11
25/08/2008,1.07
26/08/2008,1.05
27/08/2008,1.02
28/08/2008,1.01
29/08/2008,1.01
30/08/2008,1.03
31/08/2008,1.03
01/09/2008,1.0
02/09/2008,0.93
03/09/2008,0.9
