id,date,type,category,value,price_index,reference
5,01/01/2008,Income,,3500.00,,
6,01/01/2008,Expenses,Housing,1170.00,,
7,01/01/2008,Expenses,Utilities,300.00,,
8,01/01/2008,Savings/debt expenses,,100.00,,3
9,02/01/2008,Debt selling,,116.24,1,3
10,03/01/2008,Expenses,Food,36.85,,
11,03/01/2008,Expenses,Shopping,228.98,,
12,05/01/2008,Expenses,Food,36.05,,
13,05/01/2008,Expenses,,7.44,,
14,06/01/2008,Expenses,Food,35.92,,
15,07/01/2008,Expenses,Food,35.82,,
16,07/01/2008,Expenses,Shopping,358.67,,
17,08/01/2008,Expenses,Food,34.63,,
18,08/01/2008,Expenses,Utilities,97.04,,
19,09/01/2008,Expenses,Food,34.24,,
20,10/01/2008,Expenses,Utilities,50.50,,
21,11/01/2008,Expenses,Food,33.98,,
22,13/01/2008,Expenses,Food,33.88,,
23,14/01/2008,Expenses,Food,33.78,,
24,15/01/2008,Income,,562.42,,
25,17/01/2008,Expenses,Utilities,94.70,,
26,18/01/2008,Expenses,Food,35.08,,
27,19/01/2008,Expenses,Shopping,440.76,,
28,24/01/2008,Expenses,Food,33.66,,
29,26/01/2008,Expenses,Food,33.56,,
30,01/02/2008,Income,,3500.00,,
31,01/02/2008,Expenses,Housing,1700.00,,
32,01/02/2008,Expenses,Utilities,300.00,,
33,01/02/2008,Expenses,Food,37.96,,
34,01/02/2008,Expenses,Health,120.14,,
35,01/02/2008,Savings/debt expenses,,99.42,,3
36,01/02/2008,Debt selling,,0.58,1,3
37,02/02/2008,Expenses,Health,73.30,,
38,03/02/2008,Expenses,Food,36.97,,
39,07/02/2008,Expenses,Shopping,158.52,,
40,08/02/2008,Expenses,Food,36.38,,
41,09/02/2008,Expenses,Food,36.27,,
42,15/02/2008,Expenses,Food,36.14,,
43,17/02/2008,Expenses,Food,36.04,,
44,23/02/2008,Expenses,Food,35.93,,
45,25/02/2008,Expenses,Food,35.82,,
46,26/02/2008,Expenses,Food,35.71,,
47,26/02/2008,Expenses,,36.59,,
48,01/03/2008,Income,,3500.00,,
49,01/03/2008,Expenses,Housing,1700.00,,
50,01/03/2008,Expenses,Utilities,300.00,,
51,01/03/2008,Savings/debt expenses,,99.42,,3
52,01/03/2008,Debt selling,,0.58,1,3
53,04/03/2008,Expenses,Food,39.70,,
54,04/03/2008,Expenses,Leisure,274.53,,
55,06/03/2008,Expenses,Shopping,89.15,,
56,06/03/2008,Expenses,,105.97,,
57,07/03/2008,Debt selling,,253.85,1,3
58,08/03/2008,Expenses,Utilities,76.79,,
59,09/03/2008,Expenses,Food,37.18,,
60,12/03/2008,Expenses,Food,37.06,,
61,12/03/2008,Expenses,Health,93.62,,
62,14/03/2008,Expenses,Shopping,909.26,,
63,14/03/2008,Debt selling,,158.1,1,3
64,17/03/2008,Expenses,Food,33.47,,
65,19/03/2008,Expenses,Food,33.37,,
66,24/03/2008,Expenses,Health,37.48,,
67,25/03/2008,Expenses,Food,33.16,,
68,29/03/2008,Expenses,Shopping,266.31,,
69,30/03/2008,Expenses,Food,32.26,,
70,30/03/2008,Expenses,Health,71.60,,
71,01/04/2008,Income,,3500.00,,
72,01/04/2008,Expenses,Housing,1700.00,,
73,01/04/2008,Expenses,Utilities,300.00,,
74,01/04/2008,Expenses,Utilities,88.19,,
75,01/04/2008,Expenses,Leisure,570.23,,
76,01/04/2008,Savings/debt expenses,,97.35,,3
77,01/04/2008,Debt selling,,2.65,1,3
78,02/04/2008,Expenses,Food,34.17,,
79,05/04/2008,Expenses,Food,34.07,,
80,11/04/2008,Expenses,Food,33.97,,
81,12/04/2008,Expenses,Food,33.87,,
82,12/04/2008,Debt selling,,185.0,1,3
83,16/04/2008,Expenses,Food,33.21,,
84,19/04/2008,Expenses,Food,33.11,,
85,20/04/2008,Expenses,Food,33.01,,
86,27/04/2008,Expenses,Food,32.91,,
87,30/04/2008,Expenses,Food,32.81,,
88,01/05/2008,Income,,3500.00,,
89,01/05/2008,Expenses,Housing,1700.00,,
90,01/05/2008,Expenses,Utilities,300.00,,
91,01/05/2008,Savings/debt expenses,,96.41,,3
92,01/05/2008,Debt selling,,3.59,1,3
93,02/05/2008,Expenses,,53.21,,
94,06/05/2008,Expenses,Food,36.76,,
95,08/05/2008,Expenses,,166.59,,
96,09/05/2008,Expenses,Food,36.15,,
97,10/05/2008,Expenses,Health,34.06,,
98,12/05/2008,Expenses,Food,35.94,,
99,13/05/2008,Expenses,Shopping,130.13,,
100,16/05/2008,Expenses,Food,35.44,,
101,16/05/2008,Expenses,,92.46,,
102,22/05/2008,Expenses,Shopping,120.38,,
103,29/05/2008,Debt selling,,229.85,1,3
104,30/05/2008,Expenses,Food,33.99,,
105,30/05/2008,Expenses,,111.80,,
106,31/05/2008,Expenses,Food,33.55,,
107,01/06/2008,Income,,3500.00,,
108,01/06/2008,Expenses,Housing,1700.00,,
109,01/06/2008,Expenses,Utilities,300.00,,
110,01/06/2008,Savings/debt expenses,,95.25,,3
111,01/06/2008,Debt selling,,4.75,1,3
112,03/06/2008,Expenses,Food,37.65,,
113,08/06/2008,Expenses,Food,37.52,,
114,13/06/2008,Expenses,Food,37.41,,
115,14/06/2008,Expenses,Utilities,48.90,,
116,14/06/2008,Debt selling,,214.83,1,3
117,16/06/2008,Expenses,Food,36.50,,
118,24/06/2008,Expenses,Utilities,95.25,,
119,26/06/2008,Expenses,Food,36.11,,
120,27/06/2008,Debt selling,,148.02,1,3
121,30/06/2008,Expenses,Food,35.56,,
122,01/07/2008,Income,,3500.00,,
123,01/07/2008,Expenses,Housing,1700.00,,
124,01/07/2008,Expenses,Utilities,300.00,,
125,01/07/2008,Expenses,Food,39.95,,
126,01/07/2008,Savings/debt expenses,,93.41,,3
127,01/07/2008,Debt selling,,6.59,1,3
128,07/07/2008,Expenses,Food,39.53,,
129,08/07/2008,Expenses,,132.17,,
130,08/07/2008,Savings selling,,122.87,0.77,0
131,09/07/2008,Income,,420.00,,
132,10/07/2008,Expenses,Food,40.64,,
133,10/07/2008,Expenses,Utilities,63.66,,
134,10/07/2008,Expenses,Health,105.39,,
135,11/07/2008,Income,,318.62,,
136,11/07/2008,Expenses,Food,40.97,,
137,11/07/2008,Expenses,,225.97,,
138,25/07/2008,Expenses,Utilities,99.76,,
139,26/07/2008,Expenses,Food,39.87,,
140,27/07/2008,Expenses,Food,39.75,,
141,29/07/2008,Expenses,Food,39.61,,
142,01/08/2008,Income,,3500.00,,
143,01/08/2008,Expenses,Housing,1700.00,,
144,01/08/2008,Expenses,Utilities,300.00,,
145,01/08/2008,Savings/debt expenses,,93.38,,3
146,01/08/2008,Debt selling,,6.62,1,3
147,02/08/2008,Expenses,,163.84,,
148,07/08/2008,Expenses,Food,43.20,,
149,11/08/2008,Expenses,Utilities,98.75,,
150,13/08/2008,Expenses,Food,42.78,,
151,14/08/2008,Expenses,Shopping,337.50,,
152,16/08/2008,Expenses,Food,41.65,,
153,17/08/2008,Expenses,Housing,151.28,,
154,17/08/2008,Expenses,Food,41.53,,
155,19/08/2008,Expenses,,143.95,,
156,19/08/2008,Savings selling,,200,0.48,2
157,24/08/2008,Debt selling,,190.06,1,3
158,27/08/2008,Expenses,Food,40.55,,
159,28/08/2008,Expenses,Food,40.43,,
160,30/08/2008,Expenses,Leisure,278.77,,
161,31/08/2008,Expenses,Food,39.47,,
162,01/09/2008,Income,,3500.00,,
163,01/09/2008,Expenses,Housing,1700.00,,
164,01/09/2008,Expenses,Utilities,300.00,,
165,01/09/2008,Expenses,Food,43.85,,
166,01/09/2008,Savings/debt expenses,,92.39,,3
167,01/09/2008,Debt selling,,7.61,1,3
168,10/09/2008,Expenses,Food,43.42,,
169,15/09/2008,Income,,395.72,,
170,24/09/2008,Expenses,Food,44.48,,
171,25/09/2008,Expenses,Food,44.34,,
172,26/09/2008,Expenses,Food,44.21,,
173,28/09/2008,Expenses,Food,44.08,,
174,01/10/2008,Income,,3500.00,,
175,01/10/2008,Expenses,Housing,1700.00,,
176,01/10/2008,Expenses,Utilities,300.00,,
177,01/10/2008,Expenses,Food,48.45,,
178,01/10/2008,Savings/debt expenses,,92.36,,3
179,01/10/2008,Debt selling,,7.64,1,3
180,03/10/2008,Expenses,Utilities,120.40,,
181,03/10/2008,Expenses,Health,137.69,,
182,05/10/2008,Expenses,,227.53,,
183,06/10/2008,Expenses,Utilities,82.71,,
184,09/10/2008,Expenses,Food,46.30,,
185,11/10/2008,Expenses,Food,46.16,,
186,12/10/2008,Expenses,,209.45,,
187,13/10/2008,Expenses,Health,154.04,,
188,14/10/2008,Expenses,Food,44.93,,
189,21/10/2008,Expenses,Food,44.80,,
190,23/10/2008,Expenses,Food,44.67,,
191,23/10/2008,Expenses,,31.65,,
192,27/10/2008,Expenses,Food,44.44,,
193,27/10/2008,Expenses,Health,84.82,,
194,31/10/2008,Expenses,Leisure,330.70,,
195,01/11/2008,Income,,3500.00,,
